"","QE_I01","NT_GER","NT_FG","QE_I25"
"498","A",40.2,59.6,"C"
"499","A",58.5,84.5,"E"
"500","A",54.2,75,"E"
"501","A",31.4,62.1,"E"
"502","A",36.9,49,"A"
"503","A",64.6,86.6,"C"
"504","A",30.7,59,"E"
"505","A",39,56.5,"A"
"506","A",31.9,54.9,"H"
"507","A",49.4,65.4,"A"
"508","B",43.9,63.1,"C"
"509","A",38.9,64.7,"H"
"510","A",35,44.7,"A"
"511","A",43.2,71.7,"H"
"512","A",30.6,57.8,"A"
"513","A",51.3,59.8,"C"
"514","A",49,54.2,"H"
"515","A",32.8,50.3,"H"
"516","A",44.6,69,"E"
"517","A",39.4,79.4,"A"
"518","A",31.8,53.5,"A"
"519","A",43.8,60.4,"E"
"520","A",46.9,72.9,"C"
"521","A",48.7,76.5,"A"
"522","A",54.8,68.6,"A"
"523","A",53.1,83.9,"A"
"524","A",56,74.8,"C"
"525","A",35.5,66.4,"B"
"526","A",46,72.4,"E"
"527","A",27.9,52.3,"C"
"528","A",34.8,79,"H"
"529","A",49,62.6,"E"
"530","A",49.1,52.4,"A"
"531","A",59,74.4,"E"
"532","A",38.9,37.5,"H"
"533","A",29,64.2,"A"
"534","A",47.4,52.5,"E"
"535","A",31.7,74.2,"A"
"536","A",37.1,49.5,"A"
"537","A",33.5,67.2,"E"
"538","A",43.9,69.2,"E"
"539","A",60.6,86.8,"A"
"540","A",36,59.9,"E"
"541","A",49,79.4,"E"
"542","A",38.1,69,"H"
"543","A",59.1,78.6,"E"
"544","A",44,75.4,"E"
"545","A",44.5,60.2,"E"
"546","A",46.9,48.5,"A"
"547","A",48.8,16.2,"E"
"548","B",40.1,33,"H"
"549","A",42.1,74.1,"E"
"550","A",50.4,65.9,"C"
"551","A",64.5,76.2,"H"
"552","A",57.3,53.6,"H"
"553","A",32.6,36.7,"E"
"554","A",56.6,52.5,"H"
"555","A",60.6,78.4,"E"
"556","A",64.2,87.8,"E"
"557","A",59.2,71.6,"E"
"558","A",34.9,35.1,"C"
"559","A",43.8,47.1,"H"
"560","A",39,66.6,"A"
"561","A",74.7,33.5,"B"
"562","A",41.4,15,"C"
"563","A",46.9,55.6,"E"
"564","E",56.4,73.2,"E"
"565","A",37.8,63.2,"A"
"566","A",50.5,85.5,"E"
"567","A",67.6,75.3,"C"
"568","A",59.1,64.6,"A"
"569","A",36.3,64.1,"A"
"570","A",53.9,45.5,"C"
"571","A",45.9,40.9,"E"
"572","A",69.1,84.2,"E"
"573","A",62.8,22.5,"E"
"574","B",36.5,51.4,"B"
"575","A",59.9,52.2,"C"
"576","A",41.9,61.3,"H"
"577","A",41.4,22.5,"A"
"578","A",61.7,82.7,"A"
"579","A",34.9,48.6,"C"
"580","A",62.3,53.7,"E"
"581","A",45.9,64.3,"A"
"582","A",43.8,70.8,"H"
"583","B",67.7,52.5,"E"
"584","A",68.1,80.2,"E"
"585","A",53.6,22.2,"H"
"586","A",51.1,43.4,"E"
"587","A",78.1,74.4,"A"
"588","A",34.7,57.8,"D"
"589","A",67,76,"H"
"590","A",43.9,37.5,"E"
"591","A",49.1,48,"C"
"592","B",42.8,66.6,"H"
"593","A",71.2,83.6,"A"
"594","A",18.8,52.1,"A"
"595","A",48.5,38.6,"E"
"596","A",31.7,22.5,"E"
"597","A",48.7,46.9,"E"
"598","A",60.1,57.8,"C"
"599","A",49.5,59,"A"
"600","A",23.1,32.3,"E"
"601","A",63.7,77.5,"A"
"602","A",44.4,37.5,"A"
"603","B",63.2,84.1,"A"
"604","A",58.7,74.4,"H"
"605","A",48.9,73.1,"E"
"606","A",36.9,38.1,"A"
"607","A",60.2,86.7,"E"
"608","A",49.4,94.8,"E"
"609","A",69.1,82.7,"E"
"610","A",62.2,72.5,"A"
"611","A",41.5,54.2,"C"
"612","A",36.4,60.2,"B"
"613","A",40.7,59.7,"E"
"614","A",43.2,50.5,"C"
"615","A",41.3,38.6,"E"
"616","A",57.3,74.6,"H"
"617","A",46,46.1,"C"
"618","A",41.6,53.1,"H"
"619","A",42.1,66.8,"G"
"620","A",38.8,74.6,"E"
"621","A",43.9,65.3,"A"
"622","A",30.7,30,"E"
"623","A",38.3,58.8,"A"
"624","A",52,73,"E"
"625","B",39.8,47.6,"C"
"626","A",56.9,62.6,"E"
"627","B",52,74,"H"
"628","A",30.4,66.1,"E"
"629","A",51.8,55.5,"A"
"630","A",36.8,58.7,"A"
"631","B",36.5,58.4,"H"
"632","A",45.9,67.5,"A"
"633","A",46.8,55.6,"H"
"634","A",34.1,72.3,"H"
"635","A",40.7,51.1,"H"
"636","A",45.2,70.2,"B"
"637","A",49.2,64.9,"E"
"638","A",43.8,76.6,"E"
"639","A",42,69.4,"H"
"640","A",36.4,59.6,"G"
"641","A",31.1,54.4,"H"
"642","A",45.5,72.9,"A"
